team_number,opinion_mean_upm,opinion_var_upm,opinion_sum,opinion_median_upm,obs_mean_upm,obs_var_upm,obs_sum,obs_median_upm,command_mean_upm,command_var_upm,command_sum,command_median_upm,suggest_mean_upm,suggest_var_upm,suggest_sum,suggest_median_upm,thanks_mean_upm,thanks_var_upm,thanks_sum,thanks_median_upm,intentions_mean_upm,intentions_var_upm,intentions_sum,intentions_median_upm,questions_mean_upm,questions_var_upm,questions_sum,questions_median_upm,answers_mean_upm,answers_var_upm,answers_sum,answers_median_upm,emotionex_mean_upm,emotionex_var_upm,emotionex_sum,emotionex_median_upm,agree_mean_upm,agree_var_upm,agree_sum,agree_median_upm,humour_mean_upm,humour_var_upm,humour_sum,humour_median_upm,apology_mean_upm,apology_var_upm,apology_sum,apology_median_upm,encourage_mean_upm,encourage_var_upm,encourage_sum,encourage_median_upm,frust_mean_upm,frust_var_upm,frust_sum,frust_median_upm,disagree_mean_upm,disagree_var_upm,disagree_sum,disagree_median_upm,nontask_mean_upm,nontask_var_upm,nontask_sum,nontask_median_upm,misc_mean_upm,misc_var_upm,misc_sum,misc_median_upm
2,2.63,2.57,79.00,2.00,2.33,3.36,70.00,2.00,0.80,0.96,24.00,0.50,0.57,0.65,17.00,0.00,0.13,0.12,4.00,0.00,1.37,1.17,41.00,1.00,0.57,0.45,17.00,0.00,0.50,0.45,15.00,0.00,0.77,1.25,23.00,0.00,1.93,1.93,58.00,2.00,0.00,0.00,0.00,0.00,0.33,0.29,10.00,0.00,1.70,3.21,51.00,1.00,0.03,0.03,1.00,0.00,0.10,0.09,3.00,0.00,0.27,0.33,8.00,0.00,0.43,0.38,13.00,0.00
3,2.04,4.04,55.00,2.00,2.59,2.54,70.00,2.00,0.52,0.62,14.00,0.00,0.41,0.54,11.00,0.00,0.07,0.07,2.00,0.00,0.78,0.99,21.00,0.00,0.70,0.65,19.00,0.00,0.70,0.73,19.00,0.00,1.07,0.81,29.00,1.00,0.89,0.91,24.00,1.00,0.11,0.10,3.00,0.00,0.19,0.15,5.00,0.00,0.70,1.02,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,8.40,68.00,1.00,0.48,0.69,13.00,0.00
1,1.88,2.41,49.00,1.00,2.12,2.87,55.00,2.00,0.31,0.44,8.00,0.00,0.15,0.13,4.00,0.00,0.00,0.00,0.00,0.00,0.62,0.85,16.00,0.00,0.42,0.40,11.00,0.00,0.27,0.20,7.00,0.00,0.92,0.99,24.00,1.00,0.85,1.05,22.00,0.50,0.04,0.04,1.00,0.00,0.12,0.18,3.00,0.00,0.73,0.89,19.00,0.00,0.08,0.07,2.00,0.00,0.04,0.04,1.00,0.00,0.23,0.64,6.00,0.00,0.04,0.04,1.00,0.00
4,2.79,2.08,67.00,3.00,1.79,1.75,43.00,2.00,0.83,1.06,20.00,0.00,1.54,2.16,37.00,1.00,0.08,0.08,2.00,0.00,1.42,1.49,34.00,1.00,0.54,0.58,13.00,0.00,0.46,0.50,11.00,0.00,0.75,0.94,18.00,0.00,2.38,2.40,57.00,2.00,0.33,0.39,8.00,0.00,0.17,0.14,4.00,0.00,1.62,2.98,39.00,1.00,0.12,0.11,3.00,0.00,0.08,0.08,2.00,0.00,0.83,5.06,20.00,0.00,0.42,0.33,10.00,0.00
5,3.65,1.93,73.00,3.50,3.50,6.35,70.00,3.00,1.55,1.75,31.00,1.50,0.85,1.43,17.00,0.00,0.00,0.00,0.00,0.00,1.25,1.29,25.00,1.00,0.90,1.39,18.00,0.50,0.50,0.75,10.00,0.00,1.25,2.19,25.00,1.00,2.20,1.86,44.00,2.00,0.25,0.49,5.00,0.00,0.20,0.16,4.00,0.00,1.90,4.89,38.00,1.00,0.10,0.09,2.00,0.00,0.05,0.05,1.00,0.00,0.90,5.69,18.00,0.00,0.10,0.09,2.00,0.00
7,1.91,2.39,63.00,2.00,2.79,4.05,92.00,3.00,0.88,1.14,29.00,1.00,0.85,1.34,28.00,0.00,0.06,0.06,2.00,0.00,0.64,0.78,21.00,0.00,0.24,0.18,8.00,0.00,0.15,0.13,5.00,0.00,0.79,1.14,26.00,0.00,1.06,0.91,35.00,1.00,0.06,0.06,2.00,0.00,0.06,0.06,2.00,0.00,1.76,2.97,58.00,2.00,0.09,0.08,3.00,0.00,0.03,0.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,1.71,1.96,41.00,1.50,0.92,1.74,22.00,1.00,0.12,0.11,3.00,0.00,0.08,0.08,2.00,0.00,0.00,0.00,0.00,0.00,0.25,0.19,6.00,0.00,0.17,0.14,4.00,0.00,0.08,0.08,2.00,0.00,1.04,1.37,25.00,1.00,0.25,0.19,6.00,0.00,0.08,0.08,2.00,0.00,0.08,0.16,2.00,0.00,0.25,0.27,6.00,0.00,0.08,0.08,2.00,0.00,0.04,0.04,1.00,0.00,0.08,0.08,2.00,0.00,0.04,0.04,1.00,0.00
6,4.00,4.58,124.00,4.00,1.45,1.80,45.00,1.00,0.87,0.89,27.00,1.00,0.29,0.21,9.00,0.00,0.00,0.00,0.00,0.00,0.23,0.17,7.00,0.00,0.16,0.14,5.00,0.00,0.19,0.22,6.00,0.00,0.71,0.85,22.00,0.00,1.42,1.86,44.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.23,11.00,0.00,0.35,1.26,11.00,0.00,1.10,2.67,34.00,0.00,0.10,0.15,3.00,0.00,0.19,0.16,6.00,0.00
12,2.84,2.38,91.00,3.00,2.97,5.28,95.00,2.00,0.38,0.67,12.00,0.00,0.62,1.05,20.00,0.00,0.19,0.34,6.00,0.00,1.84,2.07,59.00,1.50,0.53,0.50,17.00,0.00,0.41,0.43,13.00,0.00,1.41,1.55,45.00,1.00,2.00,3.44,64.00,1.50,0.94,3.12,30.00,0.00,0.12,0.11,4.00,0.00,1.81,5.15,58.00,1.00,0.03,0.03,1.00,0.00,0.25,0.38,8.00,0.00,0.72,2.70,23.00,0.00,0.19,0.15,6.00,0.00
13,2.46,2.50,59.00,2.00,3.38,5.57,81.00,3.50,0.79,1.00,19.00,0.00,1.00,1.08,24.00,1.00,0.17,0.14,4.00,0.00,1.42,1.99,34.00,1.00,0.58,0.66,14.00,0.00,0.50,0.58,12.00,0.00,0.21,0.16,5.00,0.00,2.08,3.08,50.00,2.00,0.58,2.33,14.00,0.00,0.25,0.27,6.00,0.00,1.21,1.50,29.00,1.00,0.04,0.04,1.00,0.00,0.25,0.19,6.00,0.00,0.42,1.24,10.00,0.00,0.21,0.16,5.00,0.00
